id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02aJy1NgacvEnqfn7fNBcFxSQz3vDofURyxzJ5ZzzbJ6sBmU6F7t25zemCANysUGCul,SpaceX,113,1500,225,0,0,0,0,0,1725,116,Starship’s hot-stage separation was the first time this technique has been done successfully with a vehicle of this size.,2023-11-21T17:47:05.452876,['blob:https://www.facebook.com/9408a043-26f6-414f-b634-caf31703392d'],https://scontent.ftun7-1.fna.fbcdn.net/v/t15.5256-10/400123560_1816908025429229_6353212040964315381_n.jpg?stp=dst-jpg_p180x540&_nc_cat=1&ccb=1-7&_nc_sid=1a7029&_nc_ohc=hUiPUVT5UtEAX_IkR1H&_nc_ht=scontent.ftun7-1.fna&oh=00_AfAiFiVwqowQYCRphXfC1zq_mtGqB6frh3TGo5ruGLHGCg&oe=6563C49A,https://www.facebook.com/spacextechnologies/posts/pfbid02aJy1NgacvEnqfn7fNBcFxSQz3vDofURyxzJ5ZzzbJ6sBmU6F7t25zemCANysUGCul?__cft__[0]=AZVc8k92kDCsZSHhM0hO7_f41HBrVtp3CV-LJYrlIsa2Tdiwf1ZwNpm3piCxpCTWl6NbIO4XlbTKX2nfHhHndjvEQ-vz2P7GZTnuEG5-U7opCTLb3xynsYkKe1mZcOcPxNU_bdmSVj5V7hqG_rjAo7GUgn5NrXlmC9XhxvwI5uMKPv5SrmplejZvRfGKY3iglQUPFFPYdrIfdiiQK0LUz91X&__tn__=%2CO%2CP-R
pfbid02de3rAzxAGvUDWYH8dh5zTRoicTeVuWVy8UyUzBUe6HMxHk2rZ4tjitdoeFyKMmNYl,SpaceX,1300,15000,2600,1100,0,0,0,0,18700,1500,"The world’s most powerful launch vehicle ever developed, powered by 33 Raptor engines, lifting off from StarbaseGet Your Occupy Mars T-Shirt Today => https://rebrand.ly/OccupyMars",2023-11-20T12:47:11.939741,[],https://scontent.ftun7-1.fna.fbcdn.net/v/t39.30808-6/402017961_636604592020735_6339802615540622436_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8GcYVA6J244AX_psq1Z&_nc_ht=scontent.ftun7-1.fna&oh=00_AfBkeYtgm1L9H51KcQzNP-ps7-9a9_K_Ed7ytQ3ZoGGhLQ&oe=6563604A,https://www.facebook.com/spacextechnologies/posts/pfbid02de3rAzxAGvUDWYH8dh5zTRoicTeVuWVy8UyUzBUe6HMxHk2rZ4tjitdoeFyKMmNYl?__cft__[0]=AZWaKR_iWZtTKeTYJhxKX3MPi3Eb2HSMpuYqdGQxWdO3b2Yf8wOWA3vAqDIVtXVq8mwjqn_lL7042jUiWO7CFGNfVyeuLsnT6r0MknMgf4LbBdTo0ERds4kfl-PmZmIZOuLo8-UCm7eS2xZIQhrWOfnlVXMhbCw2d1f5GT1fVpAqTCv5WNvC_phGf04jiW5f0i81ic8_LKsWsH9AM_KgO3iO&__tn__=%2CO%2CP-R
pfbid02zAz8DrhNJoyUsft5oCadpAC4D6Ps4aDSsgDKoSycQheqsXQdRDZFmbNJJDDaw7WZl,SpaceX,102,860,193,0,0,0,0,0,1053,73,Made on Earth by humans! Get Your Occupy Mars T-Shirt Today => https://rebrand.ly/OccupyMars,2023-11-20T12:47:12.210210,[],https://scontent.ftun7-1.fna.fbcdn.net/v/t39.30808-6/402103788_636489592032235_7335204131511641936_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WWZo1gCDOTIAX8QyN0o&_nc_ht=scontent.ftun7-1.fna&oh=00_AfCzXsb1KJatBe0E9-8PMbhhWSxnKDpv2rHMT1NNAfL6UQ&oe=6562EFE4 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/spacextechnologies/posts/pfbid02zAz8DrhNJoyUsft5oCadpAC4D6Ps4aDSsgDKoSycQheqsXQdRDZFmbNJJDDaw7WZl?__cft__[0]=AZXdtLQs2LIXZKBKoqv3YuyAfoGyflzQvRcL7j1WA6uRxC9rwlpXg8rbLJUvtzMtqLv3F9yjWgGZjeLW3ptii2F7QylQYl_EyD0HIzCg3Uoe3GW-WDzwhU3FqNRfiBxTiX5mI6GbSJoYbIhxlWu83IzSXHN3Se81Mvqf708SsIBxiWzZnOwZLF1zL9He7ZQhZtYmXF4mV5i9_5V0UK24D42S&__tn__=%2CO%2CP-R
pfbid0UHPLVAaCe9rdE1zvLTWrpTLiYap4vHJ6UZNeA9WGZ4R8YhTzBcqngCmu1hBPEes8l,SpaceX,124,793,211,0,0,0,0,0,1004,74,Magnificent Machine with a 1000 ft plume ,2023-11-20T12:47:12.312712,['blob:https://www.facebook.com/772835af-d4e6-4039-afdd-366bb3e48a6b'],https://scontent.ftun7-1.fna.fbcdn.net/v/t15.5256-10/370293896_340490235237469_8832480906986440199_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=1a7029&_nc_ohc=2koqGmGZCooAX_b1sFn&_nc_ht=scontent.ftun7-1.fna&oh=00_AfDUnlvjXuXW2-O3-BT9PWUZzW5s0s_c6HoQJz2xYlZOQw&oe=656367A7,https://www.facebook.com/spacextechnologies/posts/pfbid0UHPLVAaCe9rdE1zvLTWrpTLiYap4vHJ6UZNeA9WGZ4R8YhTzBcqngCmu1hBPEes8l?__cft__[0]=AZWDSMhnGWk_mnnC-rPu5ATpSsEkJzd4cMJD_5yfED72Fd4h-0oqBO6lPU3VVUh2puNcWczfKOHWjkDhNABP0v4NvqTpXNaEy9JIS0B1zXlyODC0YWoMmFnGdh4enzMArPFDM8ui4ecWgaw5bTHhzfPq0EbvuvxTjtXANwQm3kzcXmXow62QXR4__tdNjiBvFTa3QHEMXn4ACLocB8t7Thpn&__tn__=%2CO%2CP-R
pfbid024Y2X5txScMDGqxD4qknPPpprwhvvN71JTBmBq4AYeH2cbYAd3p5FH64yZskAUrDQl,SpaceX,70,905,182,0,0,0,0,0,1087,188,"For the first time, there is a rocket that can make all life multiplanetary. A fork in the road of human destiny.Get Your Occupy Mars T-Shirt Today => https://rebrand.ly/OccupyMars",2023-11-19T12:47:12.400507,[],https://scontent.ftun7-1.fna.fbcdn.net/v/t39.30808-6/402193927_636064305408097_8007855274060627947_n.jpg?stp=dst-jpg_p180x540&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eZ4QmjAD-9UAX8xrZNu&_nc_ht=scontent.ftun7-1.fna&oh=00_AfBxr1Q4juFCDypXOJeXltjw5BmKoew_UF-UpyzNOYlsEg&oe=65627432,https://www.facebook.com/spacextechnologies/posts/pfbid024Y2X5txScMDGqxD4qknPPpprwhvvN71JTBmBq4AYeH2cbYAd3p5FH64yZskAUrDQl?__cft__[0]=AZVspqFxo8RZtp3JgRjh8WDx6pXYtGBqsllbBigKhYQDg95IbAxwoH_e1PiPUihIaCDw9jOzYmW8PsNd6ACk8jaPC8Se5PkN3x0H8QyZ7W7khzXBQ8DoPPmAvT4deiUEdz7S_pTiiGhwLgRiXChrpyw4m185nqk7OWLORiMIQ-OB7KghvhviHYsh2SH3NJsVMaef4uRs0vjnd18LQ4GOih7G&__tn__=%2CO%2CP-R
pfbid02qwxRZqeu2YHnKwibhNneTHzdHPAsMhYHrrSfGvXw16ZkX15qpSCCv4SaabLyq7QTl,SpaceX,20,560,110,0,0,0,0,0,670,106,During the Starship Launch Control!,2023-11-19T12:47:18.713273,[],https://scontent.ftun7-1.fna.fbcdn.net/v/t39.30808-6/401857846_665298819022306_5030506586779554334_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AbQ8ZEzasi8AX9YsqZW&_nc_ht=scontent.ftun7-1.fna&oh=00_AfB61SuiKvF3PeCSPx7G_acyGzwnsMLswc5Dj3uN1cQ2vw&oe=65629418 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/spacextechnologies/posts/pfbid02qwxRZqeu2YHnKwibhNneTHzdHPAsMhYHrrSfGvXw16ZkX15qpSCCv4SaabLyq7QTl?__cft__[0]=AZVaxfvR2qEzI3VqRgmY8JBwQQO1vhTD5BblUoJsoS8ZIQZ1Rn7GCMku_w7BJD8xRxQC_Z-ksnZ37n4rs97NLXnnwCeyFInVFPA9AqLWUm_IFTgzkn0Y9ENbQASJMYPg_CdyINb-IJvPKxS1RNMviW9RZKy9c1DxcyJucMXM2PQCwE0BlG-75IIeM9wbKd6tJc2_6JhBtiuRGwrdPt0084RKRoqW7frOvWOzrIVFJQJQDpEb6XrCRntLv7PDh3Qi7xY&__tn__=%2CO%2CP-R
pfbid0keCkHwiAKHENa7GtwHTnKbu1jrMMu3VNR6ESF4MLSbA8ckF4sWTacchauDS6zYNel,SpaceX,135,1100,197,0,0,0,0,0,1297,122,"Standing at 120 meters, a fully stacked Starship is not only the world’s most powerful launch vehicle but also the tallest. In more technical terms of measurement, Starship is about one Mechagodzilla in height.",2023-11-19T12:47:18.814137,['blob:https://www.facebook.com/33f16407-d7f3-4cd5-8d06-45dbbe3269fd'],,https://www.facebook.com/spacextechnologies/posts/pfbid0keCkHwiAKHENa7GtwHTnKbu1jrMMu3VNR6ESF4MLSbA8ckF4sWTacchauDS6zYNel?__cft__[0]=AZXqdHM7DS2UUQiq0-Ij3LuEsjPD3xIXJiXeu9A8FaLXc8VIqrFAT4vpO5eRo18MbLU2Djwd-Paez9smYSttwDo0NqcfuR4t7HE_Pqq2MnB4zskILW_eCTT0DjXImLvdldm_qW03jIliwbumj77mO66mCDh6Mt5m5qlyFxXT6t3f7nHOxZ5IDSanO73qdCD7uqWjZGK_EK0A_J8GhWOBfazO&__tn__=%2CO%2CP-R
pfbid0sZYt6kMv5BzA2CPzYNXWfKYYytT1UX8spFhNPaDpRrFm6tNnfp8BD7bFbaXiznFvl,SpaceX,1100,9000,1300,0,0,0,0,0,10300,609,Congratulations to the entire SpaceX team on an exciting second integrated flight test of Starship! Starship successfully lifted off under the power of all 33 Raptor engines on the Super Heavy Booster and made it through stage separation,2023-11-19T12:47:18.905830,['blob:https://www.facebook.com/2a76bcea-a369-4103-aac7-ff289e9c94f7'],https://scontent.ftun7-1.fna.fbcdn.net/v/t15.5256-10/392741410_826873515861496_7015887893205431133_n.jpg?stp=dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=1a7029&_nc_ohc=Pu6qkLEaws8AX_U9rO7&_nc_ht=scontent.ftun7-1.fna&oh=00_AfABReko2RHmYUiCF8iz9Q51s69JOI1JAxtvvFI3ajfzYQ&oe=6562552D https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/spacextechnologies/posts/pfbid0sZYt6kMv5BzA2CPzYNXWfKYYytT1UX8spFhNPaDpRrFm6tNnfp8BD7bFbaXiznFvl?__cft__[0]=AZUbKopHBoRabzGbADgCsjbxJcCIrABgmAU471CSYubh3ieyE80SNoVYI8sL7sVEDXuaR0GjTDuRrlS6l_VBeZS56wq4ctOTBwC6jgT1iZVMnNPoSV9XbXo5whfGeVC3sn_KQq9J0fTxNxjc6AlhlrhbEP61UC2eRdu5aEmpGHs78_l5Zsdos5DE7k-rMg5H7F-scpUf22T4-3FX3QIG3Mc5&__tn__=%2CO%2CP-R
pfbid0EPXNmgPECXksprtsB6gSyhtbxXkucytYQdMvXa4kgED9EMRV2eBXN7ERYaHgvn1fl,SpaceX,22,308,47,44,0,0,0,0,399,33,Tesla Model 3 stops itself to avoid potentially disastrous accident..,2023-11-19T12:47:19.028060,['blob:https://www.facebook.com/127c2791-e9ea-488f-8af3-42fa220e17f9'],https://scontent.ftun7-1.fna.fbcdn.net/v/t15.5256-10/369140856_1415568565975429_3321277111663236516_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=1a7029&_nc_ohc=adIXYeczR_0AX-gUkGZ&_nc_ht=scontent.ftun7-1.fna&oh=00_AfCkkLSAcGiChWr39SiYsbSRIopEVKIWamyHQCniZmX6JA&oe=6562AF40,https://www.facebook.com/spacextechnologies/posts/pfbid0EPXNmgPECXksprtsB6gSyhtbxXkucytYQdMvXa4kgED9EMRV2eBXN7ERYaHgvn1fl?__cft__[0]=AZU6SBkHhNw1Rnmg7uA_cEIDNXIMbC5hrPWGkE4JnbylHoETLNIZzy_jRryS0gWKvlAqSSjvEkeIJXHjpL7Hu1dk_vyNMIct9RA_N7PpLSMTQ132s2nDyhZL6OKg-6RiBBvPe-LnLiEXaAmJw98UeJgI0n8WhmGnYcKUlViLLgSi54RprxuGqZ2r-5Lj7-DMHPkQkAdhKhtmYwU8UZMPDC6mcmtCgut-g7ADeUeOfeSQP7nHvxzQQMXyIWJkZaIbsAg&__tn__=%2CO%2CP-R
